ProjectName,ComponentName,Description
"Spring XD","Stream Module","Development of source, processing, sink module functionality"
"Spring XD",Packaging,"Creating out of the box server style distribution artifacts"
"Spring XD",Export,"Exporting data from HDFS to a target such as RDBMS, Mongo, R"
"Spring XD",Ingest,"Ingesting data to HDFS, event for file based sources"
"Spring XD","Acceptance Testing","Testing of a fully deployed cluster across all transports and using all modules"
"Spring XD",Analytics,"Metrics and Analytics support with a focus on real time"
"Spring DataCass",Infrastructure,"Build management, POM maintenance, version coordination, dependency management"
"Spring DataCass",Mapping,"Support for rich Java Object to Cassandra ResultSet/Row conversion"
"Spring DataCass",Configuration,"Spring Configuration integration points like XML Namespace and JavaConfig"
"Spring DataCass",SessionFactory,"The Cassandra Connection Factory and supported functionality"
"Spring DataCass","Template API","Changes or Additions to the Spring Data Template API for Cassandra"
"Spring DataCass","Cassandra Administration","Cassandra Admin functionality, such as Keyspace, ColumnFamily and Ring functions."
"Aptana Studio",CSS,"auto-indentation, pair matching, double/triple clicks, pair highlighting, branding/icons, templates, browsing perspective"
"Aptana Studio",Editor,"Cross-language editor functionality (infrastructure)"
"Aptana Studio",Servers,"The servers view (and anything having to do with servers)"
"Aptana Studio",Ruby,"auto-indentation, pair matching, double/triple clicks, pair highlighting, branding/icons, templates, browsing perspective"
"Aptana Studio",JS,"auto-indentation, pair matching, double/triple clicks, pair highlighting, branding/icons, templates, browsing perspective"
"Aptana Studio",Navigation,"Go To Declaration, Find References, Open Type, Editor hyperlink"
"Aptana Studio",Sass,"The Sass language and related editing functionality"
"Aptana Studio",Publishing,"FTP. SFTP, FTPS, Capistrano and other deployment methods"
